Nombre,Numero_Expediente,Edad
Mariana Domínguez Gutierrez,4459224434,22
Adán Arvizu Almada,6381026281,25
América Valle Mancera,3813723532,22
Susana Pino Alemán,3156285172,19
Julián Ayala Camacho,0438461402,21
Alan Mata Escalante,1053818049,23
Kim Castañeda Rojas,6591960045,20
Guadalupe Leo Alemán,3566906776,21
Julio Ayala Rojas,5153972129,18
César Galaz Arvizu,3949288461,21
Adán Flores Galaz,4263231198,19
Ernesto Almada Encinas,9267519556,25
Ernesto Verduzco Nuñez,2982020184,21
Kim Flores Jimenez,3375778634,22
Fernanda Nuñez Fernandez,8458874508,19
Regina Tellez Vazquez,6096975094,20
Kimberly Tellez Peña,2533256825,18
Czarina Piña Ramirez,4595039053,22
Luis Mancera Romero,4007983335,23
Rafael Verduzco Valenzuela,1517515585,21
Regina Rosales Romero,2959178482,24
Juan Rodríguez Alemán,7489424113,18
Luis García Mendez,6413292479,21
Adán Pérez González,3620510227,21
Juan Ramos Cabada,7810892934,20
María Moreno Gutierrez,1104452179,21
Kenia Ayala Pulido,3107294942,18
Ada Escalante Ramirez,7433006768,20
Kim Piña Reza,2512528888,23
Karen López Camacho,2654950471,21
Czarina Aldama Mendez,4571807922,19
Ernesto Castañeda Martínez,9048853271,23
Czarina Galaz Lobo,2702836917,19
Julio Ramos García,4178459512,22
Susana Rodríguez Galaz,7526844108,20
Ernesto Nuñez Arredondo,8481690110,23
Ernesto Rosas Cruz,0100036647,20
Juan Arvizu Wong,6480006543,19
Mariana Arvizu Wong,2730257971,25
César Alemán Peña,1524654283,18
Luis Córdova Chávez,7979229883,19
Isabel García Ozuna,5760994926,23
Ernesto García Chávez,5871373593,21
Ernesto Piña Espinoza,9126524374,25
Lourdes Ortiz García,7926826905,18
América Yanes Vazquez,5485527565,22
Regina Pulido Ozuna,3613740583,20
Karen Valenzuela Arredondo,2157950285,24
Isabel Castañeda Romero,3833931776,25
Luis Arvizu Martínez,4155419321,25
Kim Heras Heras,3585711281,18
Mario Lobo Moreno,8998901951,20
Julián Rodríguez López,7814547708,20
Sebastián Verduzco Rodríguez,9893112698,25
Karina Jimenez Arredondo,4694102272,22
Ernesto Mata Galaz,2400322680,19
Susana Pérez Martínez,4710282370,19
José López Nuñez,8962135947,24
María Galaz Balderrama,6425408877,25
Alan Alemán Andre,6348072201,25
Ana Rojas Escalante,5053615938,25
Ernesto Ramos Cuevas,6717044276,18
Karen Durazo Almada,1000340898,20
Rafael López Valenzuela,5220965182,23
Elvia Ayala Pulido,8056406287,20
Mario González Yanes,3047956290,20
Kevin Coronado Orozco,9618634697,23
Susana Yanes Romero,7596393781,19
Armando Peña Tellez,3779665271,18
Kenia Cruz Reza,5430531390,19
Armando Lobo Espinoza,7721849964,19
Julián Ozuna Cano,2618098059,24
Fernanda Tellez Caro,0108220864,24
Mario Rosas Aldama,7922809237,22
César Cabada Orozco,1227837776,23
Guadalupe Reyes Elías,3545505364,25
América Ayala Vazquez,4804368750,20
Mario Martínez Rosales,8608971222,19
César Romero Peña,7660002979,25
Ada Andre Mancera,0429034992,25
Ema Pino Almada,7731481712,24
Eva Domínguez Cano,9285791845,20
Julián Arredondo Ramirez,2683116827,21
Adán Fernandez Chávez,2527699989,24
Mario Arvizu Orozco,9300312724,19
Socorro Cruz García,1099040195,22
Juan Cadena Ozuna,4631084467,22
Luis Leo Garza,7672139009,25
Isabel Fernandez Tellez,4231868081,25
Alan Wong Pulido,1370925112,19
Rafael Almada Ayala,6850236991,18
Kevin Rojas García,7249324797,18
Alan González González,0003400777,22
Alan Cabada Calles,7742026470,21
Mario Heras Rojas,1968017458,25
Alan Ortiz Valle,0935122947,21
Ada Arredondo Coronado,6302124237,21
Alan Coronado Encinas,5783117833,20
César Domínguez Pino,2203027082,20
Isabel Ramirez Ozuna,9084634157,19
Regina García Cano,3449479545,24
César Rosales Alemán,0872784016,25
Karen García Rojas,0111502762,25
Mariana Gutierrez Cadena,8638415503,24
Ada Valle Espinoza,5690391695,25
Lourdes Leo Wong,8589792301,24
Kevin Tellez Jimenez,1099090540,21
Adán Yanes Ochoa,9119181545,24
Czarina Cuevas Piña,9510379550,20
Juan Wong Mendez,3178910786,19
Karina Valenzuela Ochoa,4728063767,22
José Lobo Orozco,0766428342,22
César Monteverde Reyes,7062488650,23
Rafael Córdova Leo,3402570664,18
Regina Ochoa Arredondo,5292965086,25
Alan Arredondo Nuñez,4508732954,20
Kenia Pérez Almada,0783904876,21
Julio Piña Lobo,6129083489,25
Rafael Leo Islas,3260046400,19
Alan Martínez Monteverde,7843925788,21
Luis Escalante Flores,2344084392,19
Carlos Reza López,2166972089,20
Eva Valenzuela Peña,4722227721,19
Czarina Castañeda Coronado,6306581541,21
Julián Jimenez Caro,6521159646,23
Ernesto Islas Fernandez,9087425797,21
María Durazo Calles,6312811113,23
Susana Valenzuela Cadena,9777964295,19
Juan Cadena Arroyo,4973413530,23
Julián Encinas Vazquez,2218527459,23
Ana Ramos Tellez,9647141731,21
Regina Gutierrez Escalante,1767087271,25
Kenia Cadena Arroyo,7683745010,21
Ana Andre Piña,4454321148,18
Karina Tellez Romero,5150365706,24
Alan Ortiz Cadena,2515618451,21
Regina Mancera Tellez,6124168485,20
Kevin Cadena Balderrama,6476976478,21
Teresa Balderrama García,5803165140,24
Kevin Wong Rojas,3734888896,20
Sebastián Calles Balderrama,7028459846,19
Carlos Islas Lobo,0229185045,23
Teresa Galaz Monteverde,7997500603,24
Eva González Almada,5677695459,22
Kim Pérez Mata,5892261318,18
Teresa Leo Coronado,6016145501,25
Teresa Verduzco Leo,6252051950,19
Socorro Mancera Garza,4619125384,19
Adán Pulido Durazo,4141791688,21
Ada Mata Monteverde,8016052521,24
América Mendez Valenzuela,8186524312,23
Brian Tellez Valenzuela,2298609025,21
Kim González Alemán,6602039139,23
Socorro Escalante Caro,5802577143,23
Luis Ortiz Islas,5589710604,24
Kimberly Espinoza Valle,6358455815,24
Susana Ochoa Mendez,8411326716,21
Fernanda Jimenez Vazquez,7456600866,23
Czarina Moreno Wong,7110082211,24
Ema Camacho Espinoza,9613346975,24
Guadalupe Gutierrez Garza,2021278609,25
Julio Fernandez Pino,0702244862,18
Ada Almada Cadena,1053272519,23
María Ramirez Balderrama,7654659168,23
Lourdes García Tellez,2519943992,22
Fernanda Fernandez Mendez,2692930679,23
María Romero Chávez,8872743786,20
América Ayala Fernandez,6404793987,25
Luis Almada Escalante,1595918350,22
Ema Reza Verduzco,6899710252,18
Kenia Ozuna Medina,6607417719,19
Alberto Ramirez Escalante,4421229191,21
América Medina Reza,7940046431,25
Rafael Martínez González,1054385241,25
Rosa García Orozco,1182433459,21
Eva Aldama Elías,4951684555,22
Julián Balderrama Ramos,9071541213,22
Czarina Yanes Rojas,9410486670,19
Rafael Rosales Romero,8703873795,24
Mariana Escalante Chávez,6269684712,22
Alan Ramirez Cano,8631530749,21
Ana Mancera Heras,4187081662,23
Karla Castañeda Peña,5240751713,24
Sebastián Almada Verduzco,1238444637,21
Susana Pérez Cadena,5337455967,24
Socorro Orozco Mendez,4274533998,25
Regina Ramos Nuñez,0443628304,23
Kevin Valle Cuevas,3386161688,21
Julio Jimenez Valenzuela,1676145726,18
Mario Martínez Cruz,2999764073,22
Isabel Elías Reyes,9754459576,18
Armando Ramos Arroyo,2687340542,23
Karen Encinas Garza,3933889859,18
José Encinas Valenzuela,8776161537,20
Mariana Leo Durazo,0698995443,25
Brian Nuñez Espinoza,7348640997,25
Regina López Elías,4716174658,22
Isabel Almada Rosas,5688885340,25
José Ayala Yanes,7052446788,23
Fernanda Rojas Monteverde,6777967273,19
Karla Medina Chávez,1571476320,19
Guadalupe Balderrama Domínguez,4016244195,24
Juan Peña Arredondo,2754468279,22
Elvia Arvizu Orozco,0409165624,18
Isabel González Nuñez,0880858172,23
Alan Córdova Córdova,7802559389,25
Elvia Cadena Andre,8016442680,25
María Verduzco Castañeda,1349420824,21
América Reyes Jimenez,9314872785,22
Karla Nuñez Vazquez,1793262497,19
Juan Mendez Peña,5862079174,25
Regina González Mancera,0528828712,21
Julián Medina Peña,1158185626,19
Adán Ramirez Escalante,7752414367,18
Brian Romero Rodríguez,4338494649,24
Susana Reza Medina,5555171629,20
Carlos Ramirez Peña,8815657362,21
Julián Almada Rosas,1886725008,21
Karla Galaz Arroyo,2399573699,23
América Heras Cadena,8813207743,21
Alberto Ramirez Piña,3307268731,23
Czarina Encinas Rodríguez,3025576427,20
Lourdes Camacho Ochoa,2122985705,19
Carlos Rosales Elías,7921182516,19
Ema Reyes Calles,2528041233,24
Luis Ozuna Ortiz,5723908828,24
Alberto Cruz Reza,1852304820,19
Rosa Córdova Flores,9569470616,25
Kevin Ortiz Durazo,8255052415,21
Karen Orozco Elías,2826537851,21
José Córdova Flores,2875557755,22
Regina Mendoza Tellez,9301196579,20
Armando Orozco Garza,9178575706,22
Karina Garza Yanes,0212514729,22
Brian Arroyo Orozco,0370104593,20
Carlos López Almada,4551218422,23
Kimberly Garza Martínez,7102754964,25
Susana Andre Escalante,0936614739,25
Czarina Ayala Arredondo,8466020221,22
Juan Fernandez Arroyo,2419369274,21
Karina Peña Valle,5138523215,24
Brian Alemán Arroyo,1026353727,25
José Wong Heras,3437628163,25
Susana Castañeda Espinoza,6856317549,23
José Monteverde Coronado,3965348985,23
Julián Leo Almada,3153493139,19
Isabel Valenzuela Ramos,2761939601,23
Karina Reyes Mata,0608023111,19
Rafael Martínez Moreno,1528772256,24
Raquel Balderrama Escalante,4313054306,25
Domingo Camacho Romero,1544545439,22
Kimberly Pino Nuñez,6710967281,21
Rafael Mendoza Yanes,6972280958,25
Kevin Nuñez Mendez,4130553642,19
Alan Mendoza Galaz,8319560833,21
Ana Cadena López,9580333604,20
Mariana Medina Chávez,8543376688,19
Elvia Ochoa Rosas,9001188177,24
Rosa Mancera Islas,3580727726,25
César Balderrama Arvizu,1245445690,18
Mario Lobo Valenzuela,1902581125,22
Ana Aldama Ayala,1961309903,23
María Reyes Durazo,2007841556,22
Ana Ayala Tellez,4648960078,25
Karina Córdova Leo,2982486211,23
Brian Reyes García,4135539650,22
Socorro Cruz Gutierrez,3111150001,18
Sebastián Escalante Ayala,7963008466,22
Brian Durazo Arredondo,1684880292,21
Rosa Piña Medina,4244548165,23
Julio Islas Heras,2971331141,19
Regina Islas Lobo,7886411018,20
Julio Pérez Andre,0302192962,19
Raquel Ramirez Valenzuela,8735985179,18
Rafael Cano Pulido,3243488939,18
Elvia Balderrama Jimenez,2998014600,24
Ema Ortiz Mancera,1118122826,23
Regina Cuevas Coronado,1357196395,19
Karina Flores Rojas,0855788008,21
Mario Castañeda Verduzco,7395094485,18
Rosa Vazquez Pulido,6875199886,25
Kevin Piña Ayala,0026486345,21
Karina Balderrama Caro,7032307955,22
Karina Camacho Ramirez,9562054726,21
Sebastián Balderrama López,6079496903,18
Ernesto Caro González,2068975722,23
Susana Chávez Monteverde,8293697164,18
Guadalupe Andre Ayala,2193335361,23
Ada Jimenez Mendoza,0670362058,25
Sebastián Escalante Wong,1356055636,24
Ema Rodríguez Córdova,2573700781,19
Karla Moreno Camacho,5911894052,23
Alberto Ramirez Mendez,4951702394,22
Sebastián Coronado Mancera,6087356279,25
Karla Piña Orozco,1899986233,25
Karen Rosas Cruz,0453026983,22
Ada Mendoza Mata,3289482416,18
Kim Yanes Chávez,6880013711,22
Julio Pino Cano,9791844076,19
Lourdes Tellez Arroyo,4949642514,18
Rosa Rodríguez Reyes,5718653434,20
Socorro Ayala Ochoa,1591997258,19
Mario Martínez Valenzuela,1119695513,23
Rafael Cabada Ochoa,3063479981,23
Socorro Medina Vazquez,4564438530,22
Julio Mendoza Rosales,6754600989,20
Brian Almada Garza,1602095661,21
Adán Aldama Rojas,7450876673,24
Adán Lobo Ortiz,4479120897,22
José Pulido Cano,8343027471,18
Domingo Almada Garza,4038221409,20
Ana Monteverde Martínez,2534609837,20
Mariana Encinas Domínguez,4225851557,25
Ernesto Cadena Mendoza,4943236418,18
Adán Jimenez Cuevas,4634372550,22
Adán Gutierrez Pulido,8642042845,18
Julián Rodríguez Islas,5520080138,22
Luis Durazo López,2831879996,25
Kenia Mata Cano,6878298988,24
Raquel Islas Cruz,9206667586,22
Mario Arredondo Domínguez,1730974441,21
Susana Martínez Arroyo,2435303732,24
Luis Cabada Peña,3297132216,24
Juan Arredondo Córdova,2470650475,22
Alan Elías Alemán,6022425723,23
Susana Cadena Heras,9553749818,19
Elvia López Piña,1499684393,22
Juan Yanes Ayala,7209649730,20
Kevin Mendoza Flores,5700420606,24
Julián Ramirez Monteverde,1568967772,18
Mario Alemán Ramos,9855185864,19
Sebastián Caro Mendez,8505480965,20
Mariana Durazo Córdova,6606623871,23
Adán Mata García,9528570290,20
Susana Cabada Reza,4167950631,19
Isabel Ayala Rojas,9752994139,21
Armando García Tellez,5852274780,25
Rafael Lobo Romero,7441746377,22
Alan Pérez Galaz,0264460432,19
Kenia Coronado Piña,6014877854,19
Carlos Leo Arvizu,2293862383,22
José Piña Córdova,3319026525,18
Elvia Leo Leo,1529639030,20
Domingo Piña Mancera,3548679992,20
Sebastián Alemán Durazo,1569963840,21
Karla Ayala Chávez,2996638114,19
Kevin Rojas Andre,2304883171,23
Adán Mendez Rodríguez,2337613974,18
Armando Pino Medina,7064322085,24
América Cadena Moreno,6873233059,24
Ema Vazquez Ochoa,6887162044,25
Kim Cadena Escalante,0125016707,22
América Ozuna Wong,1536667098,18
Ana Ortiz Moreno,3278887029,22
Carlos Camacho Alemán,1734722476,18
Karen Wong García,8840837344,23
Karla Cuevas Cabada,0703120623,18
Alan Aldama Chávez,2987724892,25
Karen Cruz Aldama,4159575269,23
Juan Vazquez Valle,9545866972,25
Isabel Aldama Piña,1654889434,19
América Córdova Medina,1973875111,23
Domingo Heras Pulido,7875858168,20
Mario Ortiz Cuevas,0746882857,20
Czarina Chávez Ozuna,6882488611,20
Julio Martínez Caro,4398256988,19
Kevin Escalante Flores,9906961784,21
Domingo Espinoza González,9001661076,25
Kimberly Heras Castañeda,5588460043,24
Regina Pulido Escalante,3189653617,24
Armando Cabada Piña,5327950287,23
Alan Ortiz Calles,0538908803,25
Karla Lobo Valenzuela,9513447304,21
Julián Castañeda Ayala,5733543887,22
Carlos Cabada Arvizu,5801687715,19
América Cabada Rojas,7131557744,18
Ana Moreno Medina,2862178187,23
Armando Jimenez Alemán,7025341625,18
Luis Pino Galaz,2824662484,22
Karina Tellez Balderrama,8624512757,24
Ema Arvizu Ramirez,0944695741,25
Juan Flores Romero,3096735844,21
Luis Mendez Lobo,2665558214,18
Adán Andre Reyes,2314387750,23
Elvia Cadena Pino,3066876174,22
Teresa López Islas,6470356281,18
César López Cadena,8400615100,20
Sebastián Ozuna Castañeda,1219995195,18
José Encinas Pino,7453867712,23
Alan Cuevas Cano,4905924780,20
Kimberly Pérez Martínez,8389522176,20
César Encinas Vazquez,1616569506,25
Karina Aldama Valle,8359799640,19
Kimberly González Córdova,2654345836,22
Rosa Durazo Rosales,4725247695,20
Teresa Ramos Calles,1622201329,22
Brian Orozco Moreno,2319596423,23
Teresa Ochoa Nuñez,0503074233,25
Adán Valle Coronado,1566898638,18
Lourdes Pulido Peña,3940026534,24
Armando Rosas Almada,3310725320,25
Adán Espinoza Tellez,7208804910,22
Rosa González Ozuna,5589759116,25
Karen Ochoa Yanes,8112281036,24
Ernesto Islas Arredondo,7908021951,20
Armando Verduzco López,3959873467,19
Kim Moreno Arroyo,6791054540,19
Carlos Cano Reza,3429174913,19
Karla Alemán Cuevas,3768991932,22
Raquel Islas Pino,5290971860,24
Kimberly Verduzco Peña,8718557872,23
Teresa Pulido Orozco,9295336465,21
Armando Domínguez Rosas,9881953152,24
Alberto Castañeda Orozco,8082079064,24
Kevin Almada Córdova,6754540629,18
Eva Reyes Yanes,1563497353,21
Luis Valle Encinas,5901815206,20
Susana Rodríguez Pérez,3671281081,22
Ernesto Córdova Andre,6846740613,22
Sebastián Cuevas Piña,5082395034,21
Mario Reyes Mendoza,6808382062,19
Eva Islas Monteverde,1655729733,24
Czarina Martínez Medina,4107547578,18
Rafael Ramirez Mendoza,5684284072,21
Brian Martínez Fernandez,2506006770,19
Armando Ozuna Wong,6386748287,21
Ada Mendoza Coronado,5407377913,25
Adán Garza Calles,1477116462,24
Alan Vazquez Nuñez,5683735431,24
Armando Verduzco Leo,2304051838,21
Juan Islas Rojas,0436685453,23
Karla Piña Durazo,9482311786,23
Socorro Ochoa Orozco,8030576820,25
Ema Encinas Andre,1170219359,25
Rosa Cano Flores,0646302728,25
Regina López Camacho,6613717277,18
Raquel Elías Durazo,9397626809,20
Ada Rojas Moreno,0275946975,21
Armando Islas González,1686154778,20
Domingo Cano Rosas,3199326962,21
Socorro Elías Pérez,1559372472,18
Guadalupe Chávez Mata,3658834541,24
Regina Cruz Wong,9450457323,21
César Pérez Almada,7936579911,21
Mario Calles Balderrama,2955043589,23
Karen Rodríguez Verduzco,9965678686,25
Domingo Heras Pérez,8265762859,18
Regina Arroyo Pérez,6250839784,19
Ema Valle Aldama,1460789386,18
Rafael Arredondo Gutierrez,7336364252,22
Adán Coronado Rosales,4568632889,21
Kimberly Durazo Reyes,9160702783,19
Luis Rodríguez Pérez,6064715836,25
Socorro Leo Pulido,8450824995,22
Juan Heras Cruz,0396618300,22
Mario Ochoa Cruz,3237999131,23
Regina García Islas,3089006081,22
Julián Rojas Martínez,5444369162,22
Teresa Romero Gutierrez,4427600429,23
Brian Chávez Jimenez,9675756838,24
Domingo Mendoza Romero,1391473168,23
Karen Chávez Caro,8182584175,24
Rafael Mancera Elías,6313952130,25
Susana Cadena Medina,6079709569,25
Czarina Escalante Piña,0838837589,25
Brian Flores Mancera,6602715387,23
Rafael Tellez Rosas,1035633625,23
Regina Arvizu Arredondo,5909686317,22
Socorro Jimenez Castañeda,8299093253,18
Fernanda Garza Almada,2126185821,21
Susana Arredondo Valenzuela,6300994038,21
Domingo Garza Vazquez,0444657121,19
César Calles Orozco,7729798980,20
Rafael Jimenez Fernandez,6548700762,23
Domingo Encinas Fernandez,2525326084,25
América López Nuñez,7069862217,22
Raquel Monteverde Verduzco,4920070071,22
Sebastián Domínguez Coronado,2035128079,19
Julio Pérez Moreno,0175187305,22
Karla Cadena Piña,1256748717,24
José Rodríguez Cano,1159994904,19
Mario Pérez Cano,8461944318,21
Fernanda Mata Arvizu,8038269417,24
Adán Piña Cruz,5869199949,18
Ernesto Leo Espinoza,4877485438,22
Julián Martínez Nuñez,1532027354,20
Mariana Garza Galaz,8173322507,23
Luis Pérez Romero,5527006641,25
Brian Reyes Tellez,9433858504,18
Kenia Balderrama Galaz,6633533276,18
Ana Mancera Ochoa,7533214956,18
Raquel Monteverde Castañeda,8759397131,19
Armando Ramirez Jimenez,5547314584,23
Armando Verduzco Monteverde,3810864739,20
Ana Heras López,4050643394,23
Alberto Galaz Nuñez,7983506552,19
Armando Cano Valenzuela,5811420145,21
Domingo Nuñez Arvizu,1174360917,22
Mariana Durazo Romero,8679347244,23
Julio García Camacho,8923552705,20
Rafael Reyes Gutierrez,9321954736,22
Teresa Medina Tellez,6961657258,24
Regina Calles Calles,1885380262,24
José Jimenez Pulido,1458899573,24
Ada Orozco Almada,4827646454,24
Ema Rojas Arredondo,0475008192,25
Isabel Romero Rosales,8702587525,21
Armando Rosas Flores,2880187496,23
Carlos Arroyo Romero,3975407791,25
Susana Camacho Mata,1128811882,22
